M_lex_row,bh00_bp0,bh00_bp1,bh00_bp2,bh00_bp3,bh01_bp0,bh01_bp1,bh01_bp2,bh01_bp3,bh02_bp0,bh02_bp1,bh02_bp2,bh02_bp3,bh03_bp0,bh03_bp1,bh03_bp2,bh03_bp3,bh04_bp0,bh04_bp1,bh04_bp2,bh04_bp3,bh05_bp0,bh05_bp1,bh05_bp2,bh05_bp3,bh06_bp0,bh06_bp1,bh06_bp2,bh06_bp3,bh07_bp0,bh07_bp1,bh07_bp2,bh07_bp3,bh08_bp0,bh08_bp1,bh08_bp2,bh08_bp3,bh09_bp0,bh09_bp1,bh09_bp2,bh09_bp3,bh10_bp0,bh10_bp1,bh10_bp2,bh10_bp3,bh11_bp0,bh11_bp1,bh11_bp2,bh11_bp3,bh12_bp0,bh12_bp1,bh12_bp2,bh12_bp3,bh13_bp0,bh13_bp1,bh13_bp2,bh13_bp3,bh14_bp0,bh14_bp1,bh14_bp2,bh14_bp3,bh15_bp0,bh15_bp1,bh15_bp2,bh15_bp3,bh16_bp0,bh16_bp1,bh16_bp2,bh16_bp3,bh17_bp0,bh17_bp1,bh17_bp2,bh17_bp3,bh18_bp0,bh18_bp1,bh18_bp2,bh18_bp3,bh19_bp0,bh19_bp1,bh19_bp2,bh19_bp3
l00,0.844294,0.829294,0.809294,0.800000,0.846192,0.831192,0.811192,0.800000,0.848397,0.833397,0.813397,0.800000,0.850929,0.835929,0.815929,0.800000,0.853798,0.838798,0.818798,0.800000,0.856999,0.841999,0.821999,0.801999,0.860510,0.845510,0.825510,0.805510,0.864291,0.849291,0.829291,0.809291,0.868282,0.853282,0.833282,0.813282,0.872406,0.857406,0.837406,0.817406,0.876576,0.861576,0.841576,0.821576,0.880700,0.865700,0.845700,0.825700,0.884690,0.869690,0.849690,0.829690,0.888471,0.873471,0.853471,0.833471,0.891983,0.876983,0.856983,0.836983,0.895184,0.880184,0.860184,0.840184,0.898052,0.883052,0.863052,0.843052,0.900584,0.885584,0.865584,0.845584,0.902789,0.887789,0.867789,0.847789,0.904687,0.889687,0.869687,0.849687
l01,0.845926,0.830926,0.810926,0.800000,0.847829,0.832829,0.812829,0.800000,0.850039,0.835039,0.815039,0.800000,0.852578,0.837578,0.817578,0.800000,0.855453,0.840453,0.820453,0.800453,0.858662,0.843662,0.823662,0.803662,0.862182,0.847182,0.827182,0.807182,0.865972,0.850973,0.830972,0.810972,0.869973,0.854973,0.834973,0.814973,0.874107,0.859107,0.839107,0.819107,0.878287,0.863287,0.843287,0.823287,0.882421,0.867422,0.847421,0.827421,0.886422,0.871422,0.851422,0.831422,0.890213,0.875212,0.855212,0.835212,0.893733,0.878732,0.858732,0.838733,0.896941,0.881941,0.861941,0.841941,0.899817,0.884817,0.864817,0.844817,0.902355,0.887355,0.867355,0.847355,0.904566,0.889566,0.869566,0.849566,0.906468,0.891468,0.871468,0.851468
l02,0.847934,0.832934,0.812934,0.800000,0.849842,0.834842,0.814842,0.800000,0.852060,0.837060,0.817060,0.800000,0.854605,0.839606,0.819606,0.800000,0.857490,0.842490,0.822490,0.802490,0.860708,0.845708,0.825708,0.805708,0.864239,0.849239,0.829239,0.809239,0.868041,0.853041,0.833041,0.813041,0.872054,0.857054,0.837054,0.817054,0.876201,0.861201,0.841201,0.821200,0.880393,0.865393,0.845393,0.825393,0.884540,0.869540,0.849540,0.829540,0.888553,0.873553,0.853553,0.833553,0.892355,0.877355,0.857355,0.837355,0.895885,0.880885,0.860885,0.840885,0.899104,0.884104,0.864104,0.844104,0.901988,0.886988,0.866988,0.846988,0.904534,0.889534,0.869534,0.849534,0.906751,0.891752,0.871751,0.851752,0.908660,0.893660,0.873660,0.853660
l03,0.850436,0.835436,0.815436,0.800000,0.852351,0.837351,0.817351,0.800000,0.854577,0.839577,0.819577,0.800000,0.857132,0.842133,0.822133,0.802133,0.860028,0.845028,0.825028,0.805028,0.863258,0.848258,0.828258,0.808258,0.866802,0.851803,0.831802,0.811803,0.870619,0.855619,0.835619,0.815619,0.874647,0.859647,0.839647,0.819647,0.878809,0.863809,0.843809,0.823809,0.883017,0.868018,0.848018,0.828017,0.887180,0.872180,0.852180,0.832180,0.891208,0.876208,0.856208,0.836208,0.895024,0.880024,0.860024,0.840024,0.898568,0.883568,0.863568,0.843568,0.901799,0.886799,0.866799,0.846799,0.904694,0.889694,0.869694,0.849694,0.907249,0.892249,0.872250,0.852249,0.909475,0.894475,0.874475,0.854475,0.911391,0.896391,0.876391,0.856391
l04,0.853486,0.838486,0.818486,0.800000,0.855410,0.840410,0.820410,0.800410,0.857646,0.842646,0.822646,0.802646,0.860213,0.845213,0.825213,0.805213,0.863122,0.848122,0.828122,0.808122,0.866367,0.851367,0.831367,0.811367,0.869928,0.854928,0.834928,0.814928,0.873761,0.858761,0.838761,0.818761,0.877808,0.862808,0.842808,0.822808,0.881989,0.866989,0.846989,0.826989,0.886217,0.871217,0.851217,0.831217,0.890398,0.875398,0.855398,0.835398,0.894445,0.879445,0.859445,0.839445,0.898278,0.883278,0.863278,0.843278,0.901839,0.886839,0.866839,0.846839,0.905084,0.890084,0.870084,0.850084,0.907993,0.892993,0.872992,0.852993,0.910560,0.895560,0.875560,0.855560,0.912796,0.897796,0.877796,0.857796,0.914720,0.899720,0.879720,0.859720
l05,0.857122,0.842122,0.822122,0.802122,0.859057,0.844057,0.824057,0.804057,0.861305,0.846305,0.826305,0.806305,0.863886,0.848886,0.828886,0.808886,0.866811,0.851811,0.831811,0.811811,0.870074,0.855074,0.835074,0.815074,0.873653,0.858653,0.838653,0.818653,0.877508,0.862508,0.842508,0.822508,0.881576,0.866576,0.846576,0.826576,0.885780,0.870780,0.850780,0.830780,0.890031,0.875031,0.855031,0.835031,0.894235,0.879235,0.859235,0.839235,0.898303,0.883303,0.863303,0.843303,0.902158,0.887158,0.867158,0.847158,0.905738,0.890738,0.870738,0.850738,0.909001,0.894001,0.874001,0.854001,0.911925,0.896925,0.876925,0.856925,0.914506,0.899506,0.879506,0.859506,0.916754,0.901754,0.881754,0.861754,0.918689,0.903689,0.883689,0.863689
l06,0.861358,0.846358,0.826358,0.806358,0.863305,0.848305,0.828305,0.808305,0.865567,0.850567,0.830567,0.810567,0.868164,0.853164,0.833164,0.813164,0.871107,0.856107,0.836107,0.816107,0.874391,0.859391,0.839391,0.819391,0.877993,0.862993,0.842993,0.822993,0.881872,0.866872,0.846872,0.826872,0.885966,0.870966,0.850966,0.830966,0.890196,0.875196,0.855196,0.835196,0.894474,0.879474,0.859474,0.839474,0.898704,0.883704,0.863704,0.843704,0.902798,0.887798,0.867798,0.847798,0.906677,0.891677,0.871677,0.851677,0.910279,0.895279,0.875279,0.855279,0.913563,0.898563,0.878563,0.858563,0.916506,0.901506,0.881506,0.861506,0.919103,0.904103,0.884103,0.864103,0.921365,0.906365,0.886365,0.866365,0.923312,0.908312,0.888312,0.868312
l07,0.866174,0.851174,0.831174,0.811174,0.868135,0.853135,0.833135,0.813135,0.870413,0.855413,0.835413,0.815413,0.873029,0.858029,0.838029,0.818029,0.875993,0.860993,0.840993,0.820993,0.879300,0.864300,0.844300,0.824300,0.882928,0.867928,0.847928,0.827928,0.886834,0.871834,0.851834,0.831834,0.890957,0.875957,0.855957,0.835957,0.895218,0.880218,0.860218,0.840218,0.899526,0.884526,0.864526,0.844526,0.903787,0.888787,0.868787,0.848787,0.907910,0.892910,0.872910,0.852910,0.911816,0.896816,0.876816,0.856816,0.915444,0.900444,0.880444,0.860444,0.918751,0.903751,0.883751,0.863751,0.921714,0.906714,0.886714,0.866714,0.924330,0.909330,0.889330,0.869330,0.926608,0.911609,0.891608,0.871608,0.928569,0.913569,0.893569,0.873569
l08,0.871515,0.856515,0.836515,0.816515,0.873491,0.858491,0.838491,0.818491,0.875787,0.860787,0.840787,0.820787,0.878423,0.863423,0.843423,0.823423,0.881410,0.866410,0.846410,0.826410,0.884743,0.869743,0.849743,0.829743,0.888399,0.873399,0.853399,0.833399,0.892336,0.877336,0.857336,0.837336,0.896492,0.881492,0.861492,0.841492,0.900786,0.885786,0.865786,0.845786,0.905128,0.890127,0.870127,0.850127,0.909422,0.894422,0.874422,0.854422,0.913577,0.898577,0.878577,0.858577,0.917514,0.902514,0.882514,0.862514,0.921170,0.906170,0.886170,0.866170,0.924503,0.909503,0.889503,0.869503,0.927490,0.912490,0.892490,0.872490,0.930126,0.915126,0.895126,0.875126,0.932422,0.917422,0.897422,0.877422,0.934399,0.919398,0.899398,0.879399
l09,0.877280,0.862280,0.842280,0.822280,0.879273,0.864272,0.844273,0.824273,0.881588,0.866588,0.846588,0.826588,0.884246,0.869246,0.849246,0.829246,0.887258,0.872258,0.852258,0.832258,0.890619,0.875619,0.855619,0.835619,0.894306,0.879306,0.859306,0.839306,0.898276,0.883276,0.863276,0.843276,0.902466,0.887466,0.867466,0.847466,0.906796,0.891796,0.871796,0.851796,0.911174,0.896174,0.876174,0.856174,0.915504,0.900505,0.880504,0.860505,0.919695,0.904695,0.884695,0.864695,0.923665,0.908665,0.888665,0.868665,0.927352,0.912351,0.892352,0.872352,0.930712,0.915712,0.895712,0.875712,0.933724,0.918724,0.898724,0.878724,0.936383,0.921383,0.901383,0.881383,0.938698,0.923698,0.903698,0.883698,0.940691,0.925691,0.905691,0.885691
l10,0.883326,0.868326,0.848326,0.828326,0.885337,0.870336,0.850336,0.830337,0.887672,0.872672,0.852672,0.832672,0.890354,0.875354,0.855354,0.835354,0.893392,0.878392,0.858392,0.838392,0.896782,0.881782,0.861782,0.841782,0.900501,0.885501,0.865501,0.845501,0.904506,0.889506,0.869506,0.849506,0.908732,0.893732,0.873733,0.853732,0.913100,0.898100,0.878100,0.858100,0.917517,0.902517,0.882517,0.862517,0.921885,0.906885,0.886885,0.866885,0.926111,0.911111,0.891111,0.871111,0.930116,0.915116,0.895116,0.875116,0.933835,0.918835,0.898835,0.878835,0.937225,0.922225,0.902225,0.882225,0.940263,0.925263,0.905263,0.885263,0.942945,0.927945,0.907945,0.887945,0.945281,0.930281,0.910281,0.890281,0.947291,0.932291,0.912291,0.892291
l11,0.889471,0.874471,0.854471,0.834471,0.891499,0.876499,0.856499,0.836499,0.893855,0.878855,0.858855,0.838855,0.896560,0.881560,0.861560,0.841560,0.899625,0.884625,0.864625,0.844625,0.903045,0.888045,0.868045,0.848045,0.906797,0.891797,0.871797,0.851797,0.910837,0.895837,0.875837,0.855837,0.915100,0.900100,0.880101,0.860100,0.919507,0.904507,0.884507,0.864507,0.923962,0.908962,0.888962,0.868962,0.928368,0.913368,0.893368,0.873368,0.932632,0.917632,0.897632,0.877632,0.936672,0.921672,0.901672,0.881672,0.940424,0.925424,0.905424,0.885424,0.943844,0.928843,0.908844,0.888844,0.946908,0.931908,0.911909,0.891908,0.949614,0.934614,0.914614,0.894614,0.951970,0.936970,0.916970,0.896970,0.953998,0.938998,0.918998,0.898998
l12,0.895497,0.880497,0.860497,0.840497,0.897542,0.882542,0.862542,0.842542,0.899918,0.884918,0.864918,0.844918,0.902647,0.887647,0.867647,0.847647,0.905738,0.890738,0.870738,0.850738,0.909187,0.894187,0.874187,0.854187,0.912971,0.897971,0.877971,0.857971,0.917045,0.902045,0.882045,0.862045,0.921346,0.906345,0.886346,0.866346,0.925789,0.910789,0.890789,0.870789,0.930283,0.915283,0.895283,0.875283,0.934727,0.919727,0.899727,0.879727,0.939027,0.924027,0.904027,0.884027,0.943101,0.928101,0.908101,0.888101,0.946885,0.931885,0.911885,0.891885,0.950334,0.935334,0.915334,0.895334,0.953425,0.938425,0.918425,0.898425,0.956154,0.941154,0.921154,0.901154,0.958530,0.943530,0.923530,0.903530,0.960575,0.945575,0.925575,0.905575
l13,0.901166,0.886166,0.866166,0.846166,0.903227,0.888227,0.868227,0.848227,0.905622,0.890622,0.870622,0.850622,0.908373,0.893373,0.873373,0.853373,0.911488,0.896488,0.876488,0.856488,0.914965,0.899965,0.879965,0.859965,0.918779,0.903779,0.883779,0.863779,0.922886,0.907886,0.887886,0.867886,0.927220,0.912220,0.892220,0.872220,0.931700,0.916700,0.896700,0.876700,0.936229,0.921229,0.901229,0.881229,0.940708,0.925708,0.905708,0.885708,0.945043,0.930043,0.910043,0.890043,0.949150,0.934150,0.914150,0.894150,0.952964,0.937963,0.917964,0.897963,0.956440,0.941440,0.921440,0.901440,0.959556,0.944556,0.924556,0.904556,0.962306,0.947306,0.927306,0.907306,0.964701,0.949701,0.929701,0.909701,0.966763,0.951763,0.931763,0.911763
l14,0.906232,0.891232,0.871232,0.851232,0.908308,0.893308,0.873308,0.853308,0.910720,0.895720,0.875720,0.855720,0.913490,0.898490,0.878490,0.858490,0.916628,0.901627,0.881628,0.861628,0.920129,0.905129,0.885129,0.865129,0.923970,0.908970,0.888970,0.868970,0.928105,0.913105,0.893106,0.873105,0.932471,0.917471,0.897471,0.877471,0.936982,0.921982,0.901982,0.881982,0.941543,0.926543,0.906543,0.886543,0.946054,0.931054,0.911054,0.891054,0.950419,0.935419,0.915419,0.895419,0.954555,0.939555,0.919555,0.899555,0.958396,0.943396,0.923396,0.903396,0.961897,0.946897,0.926897,0.906897,0.965035,0.950035,0.930035,0.910035,0.967804,0.952804,0.932804,0.912804,0.970216,0.955216,0.935216,0.915216,0.972292,0.957292,0.937292,0.917292
