W_head_row,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31
l00,1.008453,1.036286,0.998212,0.985230,0.998590,1.003080,0.991905,0.992546,1.027227,0.994643,1.029548,0.997520,1.047709,0.997177,1.022329,1.006859,0.999182,1.016597,1.002889,1.002948,1.012348,1.008276,1.002026,1.014131,1.012326,1.002414,1.012305,1.004171,1.004891,0.990924,1.033552,1.009791
l01,1.015653,1.040978,1.002654,0.992327,0.999613,1.004391,1.006737,0.996614,1.027202,0.989901,1.022763,1.000227,1.049685,1.001073,1.018639,1.008763,1.001954,1.022632,0.997734,1.006920,1.016187,1.015544,0.999790,1.015758,1.014754,0.994980,1.009266,1.006138,1.003778,0.990363,1.037982,1.008000
l02,1.018730,1.041946,1.005741,0.991337,1.003294,1.006845,1.008332,0.994607,1.028281,0.990698,1.023053,1.002443,1.054244,1.003192,1.020716,1.010417,1.002303,1.026253,0.999363,1.009166,1.023503,1.016782,1.002496,1.015777,1.013916,0.992278,1.014042,1.004288,1.007517,0.988210,1.044555,1.014160
l03,1.019530,1.045609,1.005787,0.994343,1.010369,1.004679,1.010822,0.995419,1.032608,0.995157,1.024694,1.003514,1.059062,1.002975,1.021613,1.010699,1.007502,1.027267,1.001590,1.012030,1.025018,1.010175,1.002711,1.015024,1.016726,0.997121,1.017787,1.010727,1.012107,0.991409,1.047821,1.017577
l04,1.020441,1.049752,1.008882,1.001025,1.013559,1.001559,1.012045,0.999276,1.031972,0.997590,1.030475,1.007120,1.062461,1.003523,1.026047,1.012661,1.010396,1.030300,1.009414,1.012848,1.025088,1.013428,1.001260,1.019804,1.020831,0.997087,1.019807,1.016228,1.012882,0.996479,1.048714,1.017120
l05,1.022915,1.054278,1.011545,1.003596,1.012989,1.003132,1.011884,0.999355,1.036316,1.002227,1.036349,1.008823,1.065535,1.007254,1.032953,1.015228,1.014253,1.034895,1.008985,1.014380,1.028973,1.017233,1.004982,1.022196,1.022695,0.995572,1.023488,1.015662,1.012986,0.998596,1.052196,1.021991
l06,1.026885,1.063906,1.014796,1.002581,1.017045,1.006782,1.017182,1.002879,1.042657,1.005131,1.042755,1.009505,1.072551,1.012635,1.039091,1.020420,1.016858,1.038839,1.009758,1.015590,1.038400,1.017225,1.010148,1.028151,1.022553,1.000113,1.028855,1.016180,1.013783,0.997284,1.061013,1.030206
l07,1.032825,1.069671,1.021836,1.010001,1.018664,1.013383,1.021605,1.005313,1.046766,1.009496,1.045178,1.015933,1.084179,1.014388,1.044859,1.030592,1.017988,1.042008,1.018955,1.020931,1.044506,1.024312,1.015113,1.033675,1.026776,1.004571,1.029348,1.016158,1.017323,0.994039,1.067445,1.034218
l08,1.041347,1.076568,1.028292,1.013416,1.024687,1.018999,1.023992,1.008790,1.051167,1.012019,1.049666,1.016289,1.095081,1.018366,1.045463,1.035528,1.021911,1.046026,1.022850,1.022817,1.051012,1.033101,1.022528,1.036165,1.033678,1.007428,1.033731,1.022998,1.024436,1.000588,1.073685,1.038656
l09,1.050919,1.088348,1.031182,1.014175,1.029734,1.021883,1.034362,1.015557,1.059778,1.012798,1.055573,1.018686,1.107027,1.024766,1.045213,1.039889,1.027829,1.054137,1.024001,1.030947,1.060307,1.039689,1.025364,1.039550,1.036337,1.007063,1.040947,1.035170,1.027376,1.007641,1.081207,1.045316
l10,1.055036,1.099761,1.036769,1.018640,1.030933,1.029271,1.041127,1.016938,1.071232,1.015332,1.064955,1.027334,1.114236,1.030987,1.055902,1.044852,1.032021,1.062576,1.027561,1.037280,1.062711,1.044912,1.027470,1.040872,1.038653,1.009002,1.048685,1.042692,1.030276,1.010722,1.091111,1.052439
l11,1.061312,1.108773,1.044805,1.020225,1.035232,1.033273,1.044302,1.021891,1.076403,1.017047,1.072664,1.033066,1.123709,1.029153,1.067494,1.047325,1.036791,1.067216,1.032564,1.039096,1.069636,1.050548,1.032166,1.049006,1.044027,1.012878,1.052692,1.044063,1.040336,1.011378,1.100355,1.056652
l12,1.067094,1.115995,1.047362,1.024419,1.043312,1.034936,1.046951,1.027828,1.079715,1.021766,1.081543,1.035883,1.137055,1.030614,1.072690,1.051509,1.041884,1.074880,1.038310,1.042233,1.074712,1.056190,1.034970,1.058852,1.051646,1.016047,1.057240,1.047121,1.047707,1.011699,1.105188,1.063450
l13,1.075459,1.125168,1.048524,1.029198,1.050939,1.038106,1.051148,1.034547,1.088003,1.029603,1.086398,1.043685,1.142474,1.038497,1.077580,1.057383,1.046313,1.082642,1.039585,1.052371,1.078044,1.061459,1.040301,1.065878,1.060232,1.024062,1.064467,1.050364,1.049305,1.018873,1.118395,1.070473
l14,1.077636,1.132588,1.056299,1.030396,1.057931,1.043647,1.057299,1.037193,1.094627,1.034440,1.092097,1.043745,1.148078,1.041669,1.083332,1.066262,1.052113,1.087804,1.041556,1.059925,1.083763,1.065202,1.043443,1.073789,1.069066,1.028982,1.070921,1.053695,1.053299,1.018805,1.133535,1.074789
